shot_15.shot	cue=yellow	aim=278.8	speed=3.10	eng=+48	fol=+1	cue_rms=213	obj_rms=134	pen=0.03	x01@0.33 r1-y@0.40 r0-y@0.49 r0-x@1.60 r1+y@1.74 r0+y@2.45 r1+x@2.60 x01@5.12 r0-y@5.19 r1-y@5.37 r1+x@6.59
shot_16.shot	cue=white	aim=63.4	speed=3.41	eng=-2	fol=-19	cue_rms=208	obj_rms=693	pen=0.70	x02@0.03 r0+x@0.08 r0+y@1.09 r0-x@2.05 r2+y@2.29 r0-y@3.36 r0+x@5.86 r0+y@6.73 x01@7.41
shot_18.shot	cue=white	aim=94.5	speed=3.21	eng=-38	fol=+23	cue_rms=159	obj_rms=301	pen=0.00	x02@0.19 r2+y@0.43 r0+y@0.95 r2-y@1.35 r0-x@1.71 r0-y@2.86 r2+y@2.96 r0+x@5.98 r0+y@6.07 r2-y@6.37
shot_19.shot	cue=yellow	aim=217.4	speed=3.01	eng=+29	fol=+15	cue_rms=73	obj_rms=121	pen=0.00	x01@0.55 r0-y@0.77 r1-x@1.13 r1-y@1.85 r0-x@1.94 r0+y@2.46 r1+x@4.92 r0-y@5.71
shot_20.shot	cue=white	aim=330.2	speed=4.49	eng=+22	fol=+29	cue_rms=181	obj_rms=179	pen=0.03	x02@0.30 r0-y@0.37 r2+x@0.44 r0+y@1.16 r2-x@1.73 r0-y@2.70 x01@3.82 r2+x@3.93 r0+x@4.16 r2-x@8.46
shot_21.shot	cue=white	aim=179.5	speed=4.94	eng=-21	fol=-1	cue_rms=111	obj_rms=341	pen=0.15	x02@0.41 r2-x@0.65 r2-y@0.97 r0+y@1.03 r0-x@1.10 r2+x@2.27 r0-y@2.61 r2+y@3.65 r0+x@4.51 x01@4.77 r2-x@5.45 r0+y@5.61 r1+y@6.36 r2-y@6.98 x02@11.14
shot_22.shot	cue=white	aim=186.7	speed=2.90	eng=-14	fol=+33	cue_rms=347	obj_rms=587	pen=0.03	x02@0.09 r0-y@0.67 r2+y@0.83 r0-x@1.53 r2-x@2.42 x01@3.08 r0+y@3.50 r2-y@3.60 x12@6.67 r0+x@7.60 r0-y@9.24
shot_23.shot	cue=white	aim=179.2	speed=4.33	eng=-20	fol=+7	cue_rms=186	obj_rms=231	pen=0.22	x02@0.17 r2-y@0.18 r0+y@1.07 r0-x@1.17 r2+y@1.28 r2-x@1.68 r0-y@2.37 r0+x@3.93 x01@4.31 r1+y@4.45 x01@4.62 r2-y@5.22
shot_24.shot	cue=white	aim=194.9	speed=5.58	eng=-17	fol=+33	cue_rms=225	obj_rms=485	pen=0.12	x01@0.22 r1-y@0.47 r0+y@0.62 r0-x@0.71 r1-x@0.77 r1+y@1.14 r0-y@1.66 x02@1.78 r1-y@2.33 r2+x@2.62 x12@2.98 r2+x@3.65 r0+y@4.32 x02@5.56 r1+y@7.21
shot_25.shot	cue=white	aim=150.1	speed=2.75	eng=-31	fol=+3	cue_rms=213	obj_rms=163	pen=0.02	r0+y@0.33 x01@0.41 r0+y@0.62 r1-y@1.68 r0-x@1.89 r1-x@3.00 r1+y@4.24 r0-y@4.51 r0+x@6.78 r0+y@10.46
shot_26.shot	cue=yellow	aim=73.1	speed=4.59	eng=+13	fol=+18	cue_rms=230	obj_rms=167	pen=0.02	x01@0.20 r1+y@0.23 r0+y@0.38 r0+x@0.57 r1-y@0.82 r1+y@1.78 r0-y@1.90 r0-x@3.10 r1-y@3.52 r0+y@4.22 x01@5.56 r1+x@8.98
